1	备表	0~300℃	上海精普	2000100070.0	WSS	轴向	125mm	6mm	1/2NPT	1.5	合格	\N
2	备表	-200~100℃	上海精普	2000100071.0	WSS-401	轴向	250mm	6mm	1/2NPT	1.5	合格	\N
3	备表	0~400℃	泰兴热工	9910603.0	WSS	轴向	200mm	6mm	2/1NPT	1.5	合格	\N
4	备表	0~100℃	泰兴热工	9912630.0	WSS-401	轴向	210mm	6mm	1/2NPT	1.5	合格	\N
5	备表	0~200℃	泰兴热工	9912574.0	WSS	万向	140mm	6mm	1/2NPT	1.5	合格	\N
6	备表	0~200℃	沈阳康阳	961262.0	WSS	轴向	100mm	6mm	3/4NPT	1.5	合格	\N
7	备表	0~200℃	上海精普	2000100081.0	WSS-401	轴向	130mm	6mm	1/2NPT	1.5	合格	\N
8	备表	0~100℃	上海精普	2000100117.0	WSS-401	轴向	160mm	6mm	3/4NPT	1.5	合格	\N
9	备表	0~100℃	泰兴热工	202441.0	WSS	轴向	160mm	6mm	3/4NPT	1.5	合格	\N
10	备表	0~200℃	上海精普	2000100091.0	WSS-401	轴向	130mm	6mm	1/2NPT	1.5	合格	替换V-604
11	备表	0~100℃	泰兴热工	202442.0	WSS	轴向	160mm	6mm	3/4NPT	1.5	合格	\N
12	备表	0~200℃	泰兴中华	2012042101.0	WSS	万向	90mm	6mm	3/4NPT	1.5	合格	\N
13	备表	0~300℃	上海精普	9912630.0	WSS	万向	130mm	6mm	2/1NPT	1.5	合格	替换E-616B
14	备表	0~150℃	泰兴长城	966127.0	WSS	万向	210mm	6mm	3/4NPT	1.5	合格	\N
15	备表	0~300℃	ASHCROFT	2012042102.0	WSS	万向	210mm	6mm	1/2NPT	1.5	合格	\N
16	备表	0~300℃	上海精普	2012042103.0	WSS-401	轴向	130mm	6mm	1/2NPT	1.5	合格	\N
17	备表	0~200℃	上海精普	2000100093.0	WSS-401	轴向	130mm	6mm	1/2NPT	1.5	合格	替换V-605
18	备表	0~200℃	上海精普	2000100092.0	WSS-401	轴向	210mm	6mm	1/2NPT	1.5	合格	\N
19	备表	0~400℃	泰兴热工	9910603.0	WSS	万向	200mm	10mm	1/2NPT	1.5	合格	\N
20	备表	0~400℃	上海精普	2000100095.0	WSS	轴向	210mm	6mm	1/2NPT	1.5	合格	\N
21	分水缸	0~100℃	泰兴中华	9807015019.0	WSS	轴向	265mm	6mm	3/4NPT	1.5	合格	\N
22	K-681C	10~150℃	TEL-TRU	2012042104.0	WSS	万向	85mm	6mm	1/2NPT	1.5	合格	\N
23	V-612	0~150℃	泰兴热工	9912645.0	WSS	万向	410mm	6mm	3/4NPT	1.5	合格	\N
24	E-615	0~100℃	安徽天康	2012042105.0	WSS-411	径向	125mm	10mm	1/2NPT	1.5	合格	\N
25	V-631C	0~150℃	上海精普	2000100236.0	WSS-401	轴向	410mm	6mm	3/4NPT	1.5	合格	\N
26	E-303	0~200℃	ASHCROFT	2012042105.0	WSS	万向	135mm	6mm	1/2NPT	1.5	合格	\N
27	E-102	50~450℃	ASHCROFT	2012042106.0	WSS	万向	160mm	6mm	1/2NPT	1.5	合格	\N
28	E-305	0~300℃	ASHCROFT	2012042107.0	WSS	万向	135mm	6mm	1/2NPT	1.5	合格	\N
29	E-201	0~300℃	泰兴热工	9912595.0	WSS	万向	135mm	6mm	1/2NPT	1.5	合格	\N
30	V-401	0~100℃	泰兴热工	9912560.0	WSS	万向	130mm	6mm	1/2NPT	1.5	合格	\N
31	E-614A	0~100℃	泰兴热工	202445.0	WSS	轴向	130mm	6mm	3/4NPT	1.5	合格	\N
32	E-617	0~200℃	泰兴长城	966390.0	WSS	万向	160mm	6mm	3/4NPT	1.5	合格	\N
33	V-612	0~400℃	天津孟德	2012042108.0	WSS	万向	215mm	10mm	1/2NPT	1.5	合格	\N
34	V-614A	0~400℃	上海精普	4074341.0	WSS-581	万向	145mm	6mm	3/4NPT	1.5	合格	\N
35	液化气装车台	-50~100℃	上海精普	3124973.0	WSS-401	万向	110mm	6mm	1/2NPT	1.5	合格	\N
36	V-102B	0~400℃	上海精普	4074347.0	WSS-581	万向	290mm	6mm	1/2NPT	1.5	合格	\N
37	E-305	-20~120℃	ASHCROFT	2012042109.0	WSS	万向	135mm	6mm	1/2NPT	1.5	合格	\N
38	E-307	0~300℃	ASHCROFT	2012042110.0	REF!	万向	130mm	6mm	1/2NPT	1.5	合格	\N
39	H-502	0~400℃	BRIGHT	\N	BKD-277	径向	150mm	6mm	1/2NPT	1.5	合格	\N
